analysis_id,2by06hk5tand10t
pvalue,0.2218459
parameter_name,Narrow eye opening
mouse_life_stage,Early adult
gene_accession_id,MGI:1915472
gene_symbol,Tubb4b
parameter_id,IMPC_EYE_006_001
mouse_strain,C57BL
