analysis_id,xihkpth8o27v5zv
pvalue,0.1697974
parameter_id,UCDLA_EYE_017_001
mouse_strain,C57BL
parameter_name,Lens Opacity
gene_accession_id,MGI:109356
mouse_life_stage,Early adult
gene_symbol,Snap23
