analysis_id,qfc332xa8k6f65b
parameter_id,IMPC_ACS_034_001
gene_accession_id,MGI:88174
pvalue,0.07040353
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,% Pre-pulse inhibition - PPI2
gene_symbol,Bmi1
