analysis_id,p368gn7j704581f
gene_symbol,Atrn
mouse_life_stage,Early adult
parameter_name,Retinal Blood Vessels
pvalue,0.7545044
mouse_strain,C57BL
gene_accession_id,MGI:1341628
parameter_id,IMPC_EYE_024_001
