analysis_id,7b30l283g41bz7w
parameter_name,CD8+ KLRG1+ alpha beta T cell number
gene_symbol,Duoxa2
gene_accession_id,MGI:1914061
parameter_id,MGP_PBI_033_001
pvalue,0.8690234
mouse_strain,C57BL
mouse_life_stage,Early adult
