gene_symbol,Ap5s1
analysis_id,jers143h8hu81i3
parameter_name,Effector NK cells - % of NK cells
gene_accession_id,MGI:1916846
mouse_life_stage,Early adult
parameter_id,MGP_MLN_032_001
mouse_strain,C57BL
pvalue,0.8155282
