parameter_name,Lean mass
parameter_id,JAXLA_DXA_003_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Trim46
gene_accession_id,MGI:2673000
analysis_id,0vxogod1f160jp5
pvalue,0.5929301
