gene_symbol,Atf3
gene_accession_id,MGI:109384
pvalue,0.2019337
mouse_life_stage,Early adult
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
mouse_strain,C57BL
analysis_id,5s1r7i4748wm6o6
parameter_id,MGP_IMM_007_001
