gene_symbol,Plcb1
gene_accession_id,MGI:97613
analysis_id,d4i3801504y8r68
pvalue,0.7353221
parameter_name,Periphery permanence time
mouse_strain,C57BL
parameter_id,JAX_OFD_012_001
mouse_life_stage,Late adult
