parameter_name,Startle Response
mouse_strain,C57BL
gene_accession_id,MGI:2385156
analysis_id,t94158hl5e81tky
pvalue,0.1740105
gene_symbol,Sdcbp2
parameter_id,M-G-P_008_001_013
mouse_life_stage,Early adult
