parameter_name,Distance travelled - total
gene_accession_id,MGI:1274787
mouse_strain,C57BL
pvalue,0.538166
gene_symbol,Trdmt1
parameter_id,IMPC_OFD_020_001
analysis_id,238snx00k71ly98
mouse_life_stage,Early adult
