analysis_id,04f8t99o77s67o5
pvalue,0.6854206
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
gene_symbol,Lcn2
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_IMM_005_002
gene_accession_id,MGI:96757
