analysis_id,53n5i9zod3571z2
mouse_strain,C57BL
gene_accession_id,MGI:1921493
gene_symbol,Slx4ip
parameter_id,IMPC_IMM_004_001
mouse_life_stage,Early adult
parameter_name,NKT cells (panel A)
pvalue,1.223522
