analysis_id,k26upms913ic917
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:3046938
parameter_name,DN CD44+CD62L- NKT cells
pvalue,0.1200749
parameter_id,IMPC_IMM_046_001
gene_symbol,Hrnr
