parameter_id,IMPC_OFD_007_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1923029
analysis_id,b3r522cmx4485po
pvalue,0.6656806
gene_symbol,Dnaaf9
parameter_name,Whole arena resting time
mouse_strain,C57BL
