analysis_id,b48gqs6o1lk290y
mouse_life_stage,Early adult
gene_accession_id,MGI:2446274
parameter_id,JAX_OFD_022_001
pvalue,0.2559057
mouse_strain,C57BL
parameter_name,Percentage center time
gene_symbol,Frmpd1
