gene_symbol,Snrpb2
parameter_name,Joints
gene_accession_id,MGI:104805
pvalue,0.1140124
mouse_strain,C57BL
parameter_id,IMPC_XRY_027_001
analysis_id,3zqia0ii19522tw
mouse_life_stage,Early adult
