gene_symbol,Trim46
parameter_id,HMGULA_CBC_018_001
mouse_life_stage,Early adult
pvalue,0.9712462
mouse_strain,C57BL
gene_accession_id,MGI:2673000
parameter_name,Glucose
analysis_id,4ey51hn9y103u52
