gene_symbol,Fgb
parameter_name,Potassium
pvalue,0.5058483
mouse_strain,C57BL
mouse_life_stage,E12.5
analysis_id,8qceo2116586xs6
gene_accession_id,MGI:99501
parameter_id,GMC_906_001_005
