analysis_id,7e6725ju9257a26
mouse_life_stage,E9.5
mouse_strain,C57BL
pvalue,0.4723171
gene_accession_id,MGI:1914515
gene_symbol,Slc39a10
parameter_id,ESLIM_001_001_117
parameter_name,eye size
