analysis_id,1pt79r1b685499u
gene_accession_id,MGI:1919107
mouse_life_stage,Early adult
pvalue,0.1145043
parameter_id,IMPC_OFD_010_001
parameter_name,Periphery distance travelled
mouse_strain,C56BL
gene_symbol,Slc17a9
