analysis_id,xyto8s6inw37254
mouse_strain,C57BL
parameter_name,Eyelid morphology
parameter_id,IMPC_EYE_004_001
mouse_life_stage,Early adult
gene_accession_id,MGI:109384
pvalue,0.3794964
gene_symbol,Atf3
