parameter_name,Potassium
analysis_id,q718t904o858hhe
mouse_life_stage,Late adult
gene_accession_id,MGI:2446186
pvalue,0.2119416
gene_symbol,Lpgat1
parameter_id,GMC_906_001_005
mouse_strain,C57BL
