gene_symbol,Zcchc2
analysis_id,8sjbtv55rgq6j82
pvalue,0.8084193
parameter_id,IMPC_HEM_029_001
mouse_strain,C57BL
gene_accession_id,MGI:2444114
parameter_name,Neutrophil differential count
mouse_life_stage,Early adult
