parameter_name,Center distance travelled
analysis_id,vmc2ee236j79l3d
gene_accession_id,MGI:2446274
parameter_id,JAX_OFD_014_001
mouse_strain,C57BL
pvalue,0.9041057
mouse_life_stage,Late adult
gene_symbol,FRMPD1
