parameter_name,Cornea
parameter_id,IMPC_EYE_007_001
pvalue,0.4714638
mouse_life_stage,Early adult
gene_symbol,Exd1
gene_accession_id,MGI:3045306
mouse_strain,C57BL
analysis_id,s47cwa932013q98
