analysis_id,91ataae9156ofuh
parameter_name,Distance travelled - total
gene_accession_id,MGI:1924360
pvalue,0.5227149
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_020_001
gene_symbol,Gpbp1l1
mouse_life_stage,Early adult
