parameter_name,Bone Mineral Content
gene_symbol,Slc39a10
parameter_id,ESLIM_005_001_005
mouse_strain,C57BL
analysis_id,61u9ca3tmr22bnu
pvalue,0.44929
gene_accession_id,MGI:1914515
mouse_life_stage,E9.5
