analysis_id,u6odm1265m1tt69
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_name,Distance travelled - total
gene_symbol,Ddx27
parameter_id,JAXLA_OFD_020_001
pvalue,0.1097033
gene_accession_id,MGI:2385884
