gene_symbol,Hpca
gene_accession_id,MGI:1336200
analysis_id,93z2pyq4g8840s9
mouse_strain,C57BL
parameter_id,IMPC_ECH_005_001
parameter_name,Fractional Shortening
mouse_life_stage,Early adult
pvalue,0.4098289
