parameter_id,JAXLA_CSD_021_001
parameter_name,Hindlimbs - shape
gene_accession_id,MGI:1921442
pvalue,0.1989201
analysis_id,1bvyieq8jl7131r
gene_symbol,Arpc5l
mouse_life_stage,Early adult
mouse_strain,C57BL
