gene_symbol,Cntfr
mouse_strain,C57BL
parameter_name,Bone Mineral Content
gene_accession_id,MGI:99605
pvalue,0.4295417
parameter_id,ESLIM_005_001_005
mouse_life_stage,Early adult
analysis_id,36407v0422gx403
