gene_symbol,Galnt13
mouse_life_stage,Late adult
pvalue,0.8767683
gene_accession_id,MGI:2139447
mouse_strain,C57BL
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
analysis_id,8svde6450o24357
parameter_id,MGP_IMM_026_001
