parameter_id,UCD_OWT_008_001
parameter_name,Liver weight
pvalue,0.3340841
mouse_strain,C57BL
analysis_id,smh828c76kksiu4
gene_accession_id,MGI:1916220
mouse_life_stage,Early adult
gene_symbol,Dcaf12
