analysis_id,e7407ingkb17620
gene_accession_id,MGI:3522699
pvalue,0.247324
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_092_002
mouse_strain,C57BL
parameter_name,Retina (combined)
gene_symbol,Trpa1
