mouse_life_stage,Early adult
parameter_id,UCD_OWT_008_001
mouse_strain,C57BL
parameter_name,Liver weight
analysis_id,yggm5f3i164hgh7
gene_symbol,Slx4ip
gene_accession_id,MGI:1921493
pvalue,0.7126637
