gene_symbol,Cntfr
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
pvalue,0.3760539
analysis_id,m4r26vf793x0729
parameter_name,Neural tube morphology
parameter_id,IMPC_GEL_060_001
mouse_strain,C57BL
