gene_symbol,Tnfsf10
parameter_name,Lower teeth appearance
analysis_id,m93vzouyyf2677s
pvalue,0.3677595
parameter_id,IMPC_CSD_070_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:107414
