gene_symbol,Mecom
parameter_id,IMPC_EYE_059_001
gene_accession_id,MGI:95457
parameter_name,Mean right eye lens density
mouse_life_stage,E12.5
analysis_id,a4u62ml7e96h82r
pvalue,0.3248209
mouse_strain,C57BL
