parameter_name,Hindlimb nail - number
analysis_id,omu5kcr0yu29n23
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
pvalue,0.6920993
parameter_id,IMPC_CSD_051_002
