analysis_id,3m1v548045o42n1
gene_accession_id,MGI:2685277
parameter_id,ESLIM_014_001_008
parameter_name,Cornea vascularisation
mouse_life_stage,E18.5
pvalue,0.8160288
mouse_strain,C57BL
gene_symbol,Zyg11b
