parameter_name,Percentage center time
pvalue,0.4330588
gene_accession_id,MGI:1336200
gene_symbol,Hpca
mouse_life_stage,Early adult
analysis_id,5eg3mn0vx2189bo
parameter_id,IMPC_OFD_022_001
mouse_strain,C57BL
