gene_symbol,Gpbp1l1
gene_accession_id,MGI:1924360
parameter_name,Mean corpuscular hemoglobin
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_006_001
analysis_id,42z9zh98g888v8p
pvalue,0.7446762
mouse_strain,C57BL
