analysis_id,h0nazt9c644h5rl
mouse_strain,C57BL
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
parameter_id,MGP_IMM_036_001
gene_symbol,Bpifa3
parameter_name,KLRG1+ NK cells - % of NK cells
pvalue,0.6073148
