analysis_id,0h4xzfrop42vap3
pvalue,0.5526584
parameter_name,Heart looping
mouse_strain,C57BL
gene_accession_id,MGI:1913576
parameter_id,IMPC_GEL_057_001
mouse_life_stage,Early adult
gene_symbol,Dnajc5b
