gene_symbol,Hrnr
mouse_strain,C57BL
parameter_name,PQ
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_005_001
analysis_id,06jlf48lb335o74
pvalue,0.7893818
gene_accession_id,MGI:3046938
