analysis_id,8u291acknsv0130
parameter_name,Placenta Size
mouse_life_stage,E9.5
gene_accession_id,MGI:1328306
gene_symbol,Orc2
mouse_strain,C57BL
pvalue,0.7809637
parameter_id,IMPC_GPP_004_001
