analysis_id,424893973oz2528
gene_symbol,Zfp683
gene_accession_id,MGI:3650254
pvalue,0.1111648
parameter_name,lens opacity
mouse_strain,C57BL
parameter_id,M-G-P_014_001_010
mouse_life_stage,Early adult
