gene_symbol,Ifi44
parameter_id,MGP_IMM_112_001
mouse_strain,C57BL
analysis_id,fvmnv3z302f1im9
pvalue,0.8225127
mouse_life_stage,Early adult
gene_accession_id,MGI:2443016
parameter_name,Follicular B cells - % of CD45+
