analysis_id,zem4oeo7a442eg4
gene_accession_id,MGI:87968
parameter_name,Lens Opacity
parameter_id,UCDLA_EYE_017_001
mouse_life_stage,E9.5
gene_symbol,Ahcy
pvalue,0.1945459
mouse_strain,C57BL
