analysis_id,336pl7g66h50jit
pvalue,0.3583369
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_id,IMPC_OFD_021_001
gene_symbol,Wars2
gene_accession_id,MGI:1917810
parameter_name,Number of rears - total
