analysis_id,8ec2507y5003y2u
mouse_strain,C57BL
pvalue,0.7177923
gene_symbol,Alkbh3
parameter_id,IMPC_EYE_008_001
parameter_name,Corneal opacity
mouse_life_stage,Early adult
gene_accession_id,MGI:1916363
