gene_symbol,Slx4ip
mouse_strain,C57BL
analysis_id,0dn43uxwfm0f327
parameter_id,IMPC_HEM_008_001
pvalue,0.136317
parameter_name,Platelet count
mouse_life_stage,Early adult
gene_accession_id,MGI:1921493
