parameter_name,Neutrophils
gene_symbol,Ssr2
analysis_id,p3sw2e64c424t48
gene_accession_id,MGI:1913506
pvalue,0.5749982
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_050_001
mouse_strain,C57BL
