gene_symbol,Rgs20
analysis_id,00kymto1a6y727p
gene_accession_id,MGI:1929866
mouse_strain,C54BL
parameter_name,Whole arena resting time
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_007_001
pvalue,0.9309581
