parameter_id,MGP_CSD_015_001
gene_symbol,Zc2hc1a
pvalue,0.1287716
analysis_id,6r5ot1m6q2acaw4
gene_accession_id,MGI:1914556
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Head coat/hair presence
