parameter_id,IMPC_CSD_069_001
gene_accession_id,MGI:1922855
pvalue,0.4440983
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Kdm5b
parameter_name,Upper teeth appearance
analysis_id,ozgdtqh7792t2rr
