parameter_id,ESLIM_011_001_006
mouse_life_stage,Late adult
mouse_strain,C57BL
pvalue,0.8586844
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
analysis_id,4mkjqdzj9ddc6z2
parameter_name,110dB startle magnitude
