analysis_id,go4e6f37vkbpnaf
parameter_id,JAX_OFD_014_001
pvalue,0.1918285
gene_symbol,Ahcy
mouse_strain,C57BL
gene_accession_id,MGI:87968
parameter_name,Center distance travelled
mouse_life_stage,E9.5
