analysis_id,9i1zv2u39b5q30z
parameter_name,Corneal vascularization
mouse_life_stage,Early adult
gene_accession_id,MGI:894679
gene_symbol,Bach2
pvalue,0.06489025
mouse_strain,C57BL
parameter_id,IMPC_EYE_009_001
