analysis_id,j491jje6su60763
pvalue,0.730912
gene_accession_id,MGI:95835
gene_symbol,Hspa5
mouse_life_stage,Early adult
parameter_id,JAX_LDT_008_001
mouse_strain,C57BL
parameter_name,Percent time in dark
