analysis_id,vshb8fm07b0qkw3
mouse_strain,C57BL
parameter_id,MGP_IMM_076_001
gene_accession_id,MGI:1917810
mouse_life_stage,E12.5
pvalue,0.09219439
parameter_name,Total Treg cells - % of CD45+
gene_symbol,Wars2
