analysis_id,a2918e8k206g5ja
gene_symbol,Mov10
parameter_id,IMPC_CBC_001_001
pvalue,0.1437868
parameter_name,Sodium
mouse_strain,C57BL
gene_accession_id,MGI:97054
mouse_life_stage,Early adult
