parameter_name,NKT cells (panel A)
gene_symbol,Tiprl
mouse_life_stage,E9.5
gene_accession_id,MGI:1915087
mouse_strain,C57BL
pvalue,0.6733056
parameter_id,IMPC_IMM_004_001
analysis_id,1vv4916108xg3ma
